Epochs,Accuracy,Loss
1,0.054,0.04981
2,0.120,0.04745
3,0.199,0.04740
4,0.247,0.04734
5,0.288,0.04728
6,0.314,0.04722
7,0.331,0.04714
8,0.339,0.04705
9,0.341,0.04695
10,0.333,0.04683
11,0.325,0.04667
12,0.320,0.04648
13,0.320,0.04623
14,0.317,0.04589
15,0.318,0.04543
16,0.336,0.04478
17,0.364,0.04388
18,0.406,0.04270
19,0.442,0.04119
20,0.486,0.03934
21,0.568,0.03713
22,0.700,0.03464
23,0.816,0.03197
24,0.883,0.02926
25,0.918,0.02657
26,0.936,0.02390
27,0.949,0.02128
28,0.963,0.01879
29,0.975,0.01649
30,0.981,0.01445
31,0.985,0.01267
32,0.986,0.01116
33,0.988,0.00989
34,0.990,0.00883
35,0.991,0.00795
36,0.990,0.00720
37,0.991,0.00657
38,0.992,0.00604
39,0.992,0.00558
40,0.992,0.00518
41,0.993,0.00483
42,0.993,0.00452
43,0.993,0.00425
44,0.994,0.00401
45,0.994,0.00380
46,0.994,0.00360
47,0.994,0.00343
48,0.995,0.00327
49,0.996,0.00312
50,0.996,0.00299
51,0.996,0.00286
52,0.996,0.00275
53,0.996,0.00265
54,0.996,0.00255
55,0.996,0.00246
56,0.996,0.00237
57,0.996,0.00229
58,0.996,0.00222
59,0.996,0.00215
60,0.996,0.00208
61,0.996,0.00202
62,0.997,0.00196
63,0.997,0.00191
64,0.997,0.00186
65,0.997,0.00181
66,0.997,0.00176
67,0.997,0.00171
68,0.997,0.00167
69,0.997,0.00163
70,0.997,0.00159
71,0.997,0.00155
72,0.997,0.00152
73,0.997,0.00148
74,0.997,0.00145
75,0.997,0.00142
76,0.997,0.00139
77,0.997,0.00136
78,0.997,0.00133
79,0.997,0.00131
80,0.997,0.00128
81,0.997,0.00126
82,0.997,0.00123
83,0.997,0.00121
84,0.998,0.00119
85,0.998,0.00117
86,0.998,0.00114
87,0.998,0.00112
88,0.998,0.00111
89,0.998,0.00109
90,0.998,0.00107
91,0.998,0.00105
92,0.998,0.00103
93,0.998,0.00102
94,0.998,0.00100
95,0.998,0.00098
