Epochs:1  Accuracy:0.014  Loss:0.049436751810452054
Epochs:2  Accuracy:0.052  Loss:0.047485525891234566
Epochs:3  Accuracy:0.098  Loss:0.047435402892422526
Epochs:4  Accuracy:0.188  Loss:0.04738205715348367
Epochs:5  Accuracy:0.2765  Loss:0.047324030304845964
Epochs:6  Accuracy:0.3035  Loss:0.04725958371224133
Epochs:7  Accuracy:0.296  Loss:0.04718643777760579
Epochs:8  Accuracy:0.286  Loss:0.04710150587845874
Epochs:9  Accuracy:0.278  Loss:0.0470004583215045
Epochs:10  Accuracy:0.2715  Loss:0.04687697220639386
Epochs:11  Accuracy:0.266  Loss:0.0467213765337212
Epochs:12  Accuracy:0.262  Loss:0.04651807427833792
Epochs:13  Accuracy:0.2585  Loss:0.04624040672022495
Epochs:14  Accuracy:0.2575  Loss:0.04584035238319747
Epochs:15  Accuracy:0.2565  Loss:0.04523091360336158
Epochs:16  Accuracy:0.259  Loss:0.04427881240047975
Epochs:17  Accuracy:0.27  Loss:0.04288396866029052
Epochs:18  Accuracy:0.297  Loss:0.04112193696290869
Epochs:19  Accuracy:0.392  Loss:0.03917038125731287
Epochs:20  Accuracy:0.4995  Loss:0.03716253252013482
Epochs:21  Accuracy:0.586  Loss:0.03516693581317499
Epochs:22  Accuracy:0.6945  Loss:0.033146936526698506
Epochs:23  Accuracy:0.781  Loss:0.03101071405883957
Epochs:24  Accuracy:0.8385  Loss:0.02871369348166011
Epochs:25  Accuracy:0.9205  Loss:0.026246779414224996
Epochs:26  Accuracy:0.9645  Loss:0.023613637347978174
Epochs:27  Accuracy:0.985  Loss:0.020886919774498667
Epochs:28  Accuracy:0.9905  Loss:0.018202510044774262
Epochs:29  Accuracy:0.993  Loss:0.015688428561864313
Epochs:30  Accuracy:0.9945  Loss:0.013433447738325503
Epochs:31  Accuracy:0.9965  Loss:0.011482789724060855
Epochs:32  Accuracy:0.9965  Loss:0.009843304707710932
Epochs:33  Accuracy:0.997  Loss:0.008493770971337177
Epochs:34  Accuracy:0.9975  Loss:0.007395287994499935
Epochs:35  Accuracy:0.9975  Loss:0.006502939104622943
Epochs:36  Accuracy:0.998  Loss:0.005774755194958969
Epochs:37  Accuracy:0.9975  Loss:0.005175637783181942
Epochs:38  Accuracy:0.998  Loss:0.004677813910237171
Epochs:39  Accuracy:0.998  Loss:0.004259848608766917
Epochs:40  Accuracy:0.998  Loss:0.003905339328459416
Epochs:41  Accuracy:0.998  Loss:0.003601729966436003
Epochs:42  Accuracy:0.9975  Loss:0.0033393587580126775
Epochs:43  Accuracy:0.9975  Loss:0.0031107330887590106
Epochs:44  Accuracy:0.9975  Loss:0.002909989744406465
Epochs:45  Accuracy:0.9975  Loss:0.002732496588732741
Epochs:46  Accuracy:0.9975  Loss:0.0025745588156856018
Epochs:47  Accuracy:0.9975  Loss:0.0024332015178797307
Epochs:48  Accuracy:0.9975  Loss:0.002306007743501848
Epochs:49  Accuracy:0.998  Loss:0.00219099696175844
Epochs:50  Accuracy:0.998  Loss:0.002086533091802388
Epochs:51  Accuracy:0.998  Loss:0.001991254299575457
Epochs:52  Accuracy:0.9985  Loss:0.0019040189416984323
Epochs:53  Accuracy:0.9985  Loss:0.0018238635824775454
Epochs:54  Accuracy:0.9985  Loss:0.001749970112268408
Epochs:55  Accuracy:0.9985  Loss:0.0016816397838902966
Epochs:56  Accuracy:0.9985  Loss:0.0016182725508862065
Epochs:57  Accuracy:0.9985  Loss:0.0015593505018866264
Epochs:58  Accuracy:0.9985  Loss:0.0015044244844506323
Epochs:59  Accuracy:0.9985  Loss:0.0014531032312946855
Epochs:60  Accuracy:0.9985  Loss:0.0014050444641428561
Epochs:61  Accuracy:0.9985  Loss:0.0013599475713586312
Epochs:62  Accuracy:0.9985  Loss:0.0013175475462899253
Epochs:63  Accuracy:0.9985  Loss:0.0012776099419108324
Epochs:64  Accuracy:0.9985  Loss:0.0012399266496519817
Epochs:65  Accuracy:0.9985  Loss:0.0012043123504548346
Epochs:66  Accuracy:0.9985  Loss:0.0011706015171069303
Epochs:67  Accuracy:0.9985  Loss:0.0011386458710463355
Epochs:68  Accuracy:0.999  Loss:0.00110831221571222
Epochs:69  Accuracy:0.999  Loss:0.0010794805833905456
Epochs:70  Accuracy:0.999  Loss:0.0010520426442781937
Epochs:71  Accuracy:0.999  Loss:0.00102590033585902
Epochs:72  Accuracy:0.999  Loss:0.0010009646781787055
Epochs:73  Accuracy:0.999  Loss:0.000977154746625463
train0 Accuracy:0.999
test0 Accuracy:0.9985
test1 Accuracy:0.7665
