Epochs:1  Accuracy:0.0545  Loss:0.049814129941163104
Epochs:2  Accuracy:0.12  Loss:0.04744960819480514
Epochs:3  Accuracy:0.199  Loss:0.04739886787225898
Epochs:4  Accuracy:0.247  Loss:0.04734423413156256
Epochs:5  Accuracy:0.288  Loss:0.047284317655539795
Epochs:6  Accuracy:0.3135  Loss:0.04721746479273073
Epochs:7  Accuracy:0.331  Loss:0.04714154959748765
Epochs:8  Accuracy:0.339  Loss:0.04705376934356356
Epochs:9  Accuracy:0.341  Loss:0.04695032803648349
Epochs:10  Accuracy:0.333  Loss:0.046825928519810184
Epochs:11  Accuracy:0.325  Loss:0.04667293143846857
Epochs:12  Accuracy:0.32  Loss:0.04647992575267436
Epochs:13  Accuracy:0.3195  Loss:0.046229286197946896
Epochs:14  Accuracy:0.317  Loss:0.04589323983218008
Epochs:15  Accuracy:0.3175  Loss:0.045429055980536086
Epochs:16  Accuracy:0.3355  Loss:0.0447788731121289
Epochs:17  Accuracy:0.364  Loss:0.04388413058327236
Epochs:18  Accuracy:0.4065  Loss:0.042701407023310524
Epochs:19  Accuracy:0.4415  Loss:0.041193654071910564
Epochs:20  Accuracy:0.4865  Loss:0.03933533190977795
Epochs:21  Accuracy:0.568  Loss:0.0371309250455873
Epochs:22  Accuracy:0.7  Loss:0.03463639451887216
Epochs:23  Accuracy:0.8155  Loss:0.03197314986580655
Epochs:24  Accuracy:0.8835  Loss:0.029263579944526552
Epochs:25  Accuracy:0.918  Loss:0.026566757521607125
Epochs:26  Accuracy:0.9365  Loss:0.02389720848245396
Epochs:27  Accuracy:0.949  Loss:0.021281683160826247
Epochs:28  Accuracy:0.9625  Loss:0.018786074719234824
Epochs:29  Accuracy:0.975  Loss:0.01648961555117555
Epochs:30  Accuracy:0.981  Loss:0.014445886501143148
Epochs:31  Accuracy:0.985  Loss:0.012672665751583639
Epochs:32  Accuracy:0.9855  Loss:0.011162859123791878
Epochs:33  Accuracy:0.988  Loss:0.009893940060580897
Epochs:34  Accuracy:0.9895  Loss:0.008833935427692882
Epochs:35  Accuracy:0.9905  Loss:0.007948037636415621
Epochs:36  Accuracy:0.99  Loss:0.007204027716354523
Epochs:37  Accuracy:0.991  Loss:0.006574733111345028
Epochs:38  Accuracy:0.9915  Loss:0.0060382514044799085
Epochs:39  Accuracy:0.9915  Loss:0.005577229216073414
Epochs:40  Accuracy:0.992  Loss:0.005177961265486775
Epochs:41  Accuracy:0.9925  Loss:0.004829592943803903
Epochs:42  Accuracy:0.9925  Loss:0.004523483509109671
Epochs:43  Accuracy:0.993  Loss:0.004252713879971119
Epochs:44  Accuracy:0.9935  Loss:0.004011709123060986
Epochs:45  Accuracy:0.9935  Loss:0.0037959487137739075
Epochs:46  Accuracy:0.9935  Loss:0.00360174346627496
Epochs:47  Accuracy:0.994  Loss:0.0034260631481452604
Epochs:48  Accuracy:0.995  Loss:0.003266402732136638
Epochs:49  Accuracy:0.9955  Loss:0.003120678184904756
Epochs:50  Accuracy:0.9955  Loss:0.0029871448998166294
Epochs:51  Accuracy:0.9955  Loss:0.0028643335422644596
Epochs:52  Accuracy:0.9955  Loss:0.0027509993307102193
Epochs:53  Accuracy:0.9955  Loss:0.002646081725668275
Epochs:54  Accuracy:0.996  Loss:0.0025486722166100074
Epochs:55  Accuracy:0.996  Loss:0.0024579884396021805
Epochs:56  Accuracy:0.996  Loss:0.0023733532691357783
Epochs:57  Accuracy:0.996  Loss:0.0022941778385902624
Epochs:58  Accuracy:0.996  Loss:0.002219947679775725
