Epochs,Accuracy,Loss
1,0.014,0.04944
2,0.052,0.04749
3,0.098,0.04744
4,0.188,0.04738
5,0.277,0.04732
6,0.303,0.04726
7,0.296,0.04719
8,0.286,0.04710
9,0.278,0.04700
10,0.272,0.04688
11,0.266,0.04672
12,0.262,0.04652
13,0.259,0.04624
14,0.258,0.04584
15,0.257,0.04523
16,0.259,0.04428
17,0.270,0.04288
18,0.297,0.04112
19,0.392,0.03917
20,0.499,0.03716
21,0.586,0.03517
22,0.695,0.03315
23,0.781,0.03101
24,0.839,0.02871
25,0.920,0.02625
26,0.965,0.02361
27,0.985,0.02089
28,0.991,0.01820
29,0.993,0.01569
30,0.995,0.01343
31,0.997,0.01148
32,0.997,0.00984
33,0.997,0.00849
34,0.998,0.00740
35,0.998,0.00650
36,0.998,0.00577
37,0.998,0.00518
38,0.998,0.00468
39,0.998,0.00426
40,0.998,0.00391
41,0.998,0.00360
42,0.998,0.00334
43,0.998,0.00311
44,0.998,0.00291
45,0.998,0.00273
46,0.998,0.00257
47,0.998,0.00243
48,0.998,0.00231
49,0.998,0.00219
50,0.998,0.00209
51,0.998,0.00199
52,0.999,0.00190
53,0.999,0.00182
54,0.999,0.00175
55,0.999,0.00168
56,0.999,0.00162
57,0.999,0.00156
58,0.999,0.00150
59,0.999,0.00145
60,0.999,0.00141
61,0.999,0.00136
62,0.999,0.00132
63,0.999,0.00128
64,0.999,0.00124
65,0.999,0.00120
66,0.999,0.00117
67,0.999,0.00114
68,0.999,0.00111
69,0.999,0.00108
70,0.999,0.00105
71,0.999,0.00103
72,0.999,0.00100
73,0.999,0.00098
